VerbNet class,Example members
gobble-39.3-2,"gulp, guzzle, quaff, swallow, swig"
gorge-39.6,"exist, feed, flourish, gorge, live, prosper, subsist, survive"
groom-41.1.2,"curry, groom"
grow-26.2,"develop, evolve, grow, hatch, mature"
help-72,"support, succor"
help-72-1,"aid, abet, assist, help"
herd-47.5.2,"accumulate, aggregate, amass, assemble, cluster, collect, congregate, convene"
hiccup-40.1.1,"belch, blush, burp, eruct, fart, flush, hiccup, pant"
hit-18.1,
hit-18.1-1,"bang, bash, batter, beat, bump, butt, dash, drum"
hold-15.1,
hold-15.1-1,"clasp, clutch, grasp, grip, handle, hold, wield"
hunt-35.1,"dig, feel, fish, hunt, mine, poach, scrounge"
hurt-40.8.3,
hurt-40.8.3-1,stub
hurt-40.8.3-1-1,"break, chip, fracture, pull, rupture, split, sprain, turn"
hurt-40.8.3-2,"bark, bite, bruise, bump, burn, cut, hurt, injure"
illustrate-25.3,"address, adorn, autograph, brand, date, decorate, embellish, endorse"
image_impression-25.1,"annotate, applique, emboss, embroider, engrave, etch, imprint, incise"
indicate-78,"imply, predict"
indicate-78-1,"explain, indicate, say"
indicate-78-1-1,"confirm, demonstrate, establish, prove, reveal, show"
inquire-37.1.2,"ask, enquire, inquire, consult, pry"
instr_communication-37.4,"broadcast, cable, e-mail, fax, modem, netmail, phone, radio"
investigate-35.4,"canvass, explore, examine, frisk, inspect, investigate, monitor, observe"
judgement-33,"acclaim, accurse, applaud, assail, assault, attack, belittle, blame"
keep-15.2,"hoard, keep, leave, store, stock"
knead-26.5,"beat, bend, coil, collect, compress, contort, curve, distort"
learn-14,acquire
learn-14-1,"cram, read, study, learn"
learn-14-2,"glean, memorize"
learn-14-2-1,"assimilate, learn, read"
leave-51.2,abandon
leave-51.2-1,"desert, leave"
lecture-37.11,
lecture-37.11-1,"lecture, moralize, preach, remark, speak, talk, theorize, write"
lecture-37.11-1-1,"elaborate, comment"
lecture-37.11-2,dwell
light_emission-43.1,"beam, blaze, blink, burn, flame, flare, flash, flicker"
limit-76,"confine, limit, reduce, restrict, restrain, constrain"
linger-53.1,"dally, dawdle, dither, equivocate, hesitate, linger, loaf, loiter"
linger-53.1-1,"delay, stall"
lodge-46,"bivouac, board, camp, dwell, live, lodge, quarter, reside"
long-32.2,
long-32.2-1,"ache, crave, fall, hanker, hope, hunger, itch, long"
long-32.2-2,"dangle, hanker, lust, thirst, yearn"
manner_speaking-37.3,"babble, bark, bawl, bellow, bleat, boom, bray, burble"
marry-36.2,"court, cuddle, date, divorce, embrace, hug, kiss, marry"
marvel-31.3,
marvel-31.3-1,"cheer, cringe, enthuse, exult, fume, gladden, madden, marvel"
marvel-31.3-2,"bother, care, fret, mind, moon, rage, rejoice, rhapsodize"
marvel-31.3-3,"bleed, care, cry, fear, feel, grieve, mourn, weep"
marvel-31.3-4,"ache, hurt, suffer"
marvel-31.3-5,"bask, delight, exult, glory, luxuriate, rejoice, revel, wallow"
marvel-31.3-6,"approve, beware, despair, disapprove, sicken, tire, weary"
marvel-31.3-7,groove
marvel-31.3-8,"anger, anguish, delight, enthuse, exult, fret, fume, gloat"
marvel-31.3-9,"react, thrill"
masquerade-29.6,"behave, camouflage, count, function, masquerade, officiate, qualify, rank"
masquerade-29.6-1,"act, behave"
masquerade-29.6-2,"serve, pose"
matter-91,"matter, count"
meander-47.7,"cascade, climb, crawl, cut, drop, go, meander, plunge"
meet-36.3,
meet-36.3-1,"consult, deliberate, meet, play, remonstrate, reunite, visit"
meet-36.3-2,"battle, box, debate, fight"
mine-10.9,"mine, quarry"
mix-22.1,
mix-22.1-1,cream
mix-22.1-1-1,"blend, combine, commingle, fuse, merge, mingle, mix"
mix-22.1-2,add
mix-22.1-2-1,"concatenate, connect, join, link, pool, network"
modes_of_being_with_motion-47.3,"bob, bow, creep, dance, drift, eddy, falter, flap"
murder-42.1,"assassinate, butcher, dispatch, eliminate, execute, immolate, liquidate, massacre"
murder-42.1-1,kill
neglect-75,
neglect-75-1,omit
neglect-75-1-1,"neglect, fail"
neglect-75-2,manage
nonvehicle-51.4.2,"cruise, drive, fly, navigate, oar, paddle, pedal, rally"
nonverbal_expression-40.2,"beam, cackle, chortle, chuckle, cough, cry, frown, gape"
obtain-13.5.2,"accept, accrue, accumulate, appropriate, borrow, cadge, collect, exact"
obtain-13.5.2-1,"acquire, obtain, purchase"
occurrence-48.3,"ensue, eventuate, happen, occur, recur, transpire, befall, chance"
order-60,"need, want, permit"
order-60-1,"ask, command, demand, order, require"
orphan-29.7,"apprentice, canonize, cripple, cuckold, knight, martyr, orphan, outlaw"
other_cos-45.4,"abase, abate, abbreviate, abrade, abridge, accelerate, acetify, acidify"
pain-40.8.1,"bother, hurt, itch, pain"
pay-68,"pay, spend, waste, serve, repay"
peer-30.3,"check, gape, gawk, gaze, glance, glare, goggle, leer"
pelt-17.2,"bombard, buffet, pelt, shower, stone"
performance-26.7,
performance-26.7-1,"chant, direct, enact, improvise, intone, perform"
performance-26.7-1-1,"dance, hum, play, recite, sing, whistle"
performance-26.7-2,"choreograph, compose, produce, silkscreen, take"
performance-26.7-2-1,"draw, paint, spin, write"
pit-10.7,"bark, beard, bone, burl, core, gill, gut, head"
pocket-9.10,"archive, bag, bank, beach, bed, bench, billet, bin"
pocket-9.10-1,"berth, dock, drydock, land, ground, lodge, stable"
poison-42.2,"asphyxiate, crucify, drown, electrocute, garrotte, hang, knife, poison"
poke-19,"dig, jab, pierce, poke, prick, stick"
pour-9.5,"dribble, drip, pour, slop, slosh, spew, spill"
preparing-26.3,
preparing-26.3-1,"bake, blend, brew, clear, cook, cook_up, fix, light"
preparing-26.3-2,"boil, clean, fry, grill, hardboil, iron, overbake, poach"
price-54.4,"appraise, approximate, assess, calibrate, estimate, fix, gauge, peg"
push-12,heave
push-12-1,"jerk, pull, tug, yank"
push-12-1-1,"jostle, press, push, shove, thrust"
put-9.1,"arrange, bury, immerse, lodge, mount, position, situate, sling"
put-9.1-1,"deposit, insert, install, stash, stow"
put-9.1-2,"place, set, put"
put_direction-9.4,"drop, elevate, hoist, lift, lower, raise"
put_spatial-9.2,"lay, prop"
put_spatial-9.2-1,"dangle, hang, lean, perch, rest, sit, stand, suspend"
reach-51.8,"reach, hit, make"
reflexive_appearance-48.1.2,"assert, declare, define, exhibit, expose, express, flaunt, form"
refrain-69,"refrain, abstain, desist"
register-54.1,"measure, read, register, total, weigh"
rely-70,"rely, depend, bank, bargain, count, figure, reckon, bet"
remove-10.1,"abolish, abstract, cull, deduct, delete, depose, disgorge, dislodge"
risk-94,"bet, gamble, venture, wager"
risk-94-1,"chance, risk, hazard"
roll-51.3.1,"bounce, drift, drop, float, glide, move, roll, slide"
rummage-35.5,"bore, burrow, delve, forage, fumble, grope, leaf, listen"
run-51.3.2,"amble, backpack, bolt, bounce, bound, bowl, canter, carom"
rush-53.2,"hasten, hurry, rush"
say-37.7,"disclose, exclaim, insinuate, insist, intimate, reply, respond, retort"
say-37.7-1,"announce, articulate, blab, blurt, claim, confess, confide, convey"
say-37.7-1-1,"purpose, suggest, recommend"
say-37.7-2,hint
scribble-25.2,"carve, chalk, charcoal, copy, crayon, doodle, draw, forge"
search-35.2,"advertise, check, comb, dive, drag, dredge, excavate, patrol"
see-30.1,"smell, taste"
see-30.1-1,"detect, discern, feel, sense, perceive, notice, see"
see-30.1-1-1,hear
send-11.1,"convey, deliver, dispatch, pass_on, port, post, return, shift"
send-11.1-1,"airmail, express, FedEx, forward, hand, mail, pass, send"
separate-23.1,"disassociate, dismember, sever, uncoil"
separate-23.1-1,"decouple, differentiate, disentangle, distinguish, divide, divorce, segregate"
separate-23.1-2,"disconnect, dissociate, part, separate"
settle-89,"settle, concur, contract, harmonize, bargain, consent, cohere, jibe"
shake-22.3,
shake-22.3-1,"lump, mass"
shake-22.3-1-1,"beat, fuse, scramble, stir, swirl, whip, whisk"
shake-22.3-2,"band, baste, cluster, collate, collect, gather, group, herd"
shake-22.3-2-1,"append, attach, bind, bond, bundle, fasten, glom, graft"
sight-30.2,"descry, discover, espy, examine, experience, eye, glimpse, inspect"
simple_dressing-41.3.1,"don, doff, wear"
slide-11.2,move
slide-11.2-1-1,"bounce, float, roll, slide"
smell_emission-43.3,"reek, smell, stink"
snooze-40.4,"catnap, doze, drowse, nap, sleep, slumber, snooze"
sound_emission-43.2,"babble, bang, beat, beep, bellow, blare, blast, blat"
sound_existence-47.4,"echo, resonate, resound, reverberate, sound"
spank-18.3,"belt, birch, bludgeon, bonk, brain, cane, clobber, club"
